;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
158;https://www.kinopoisk.ru/film/1112153/;Gonjiam;Психиатрическая больница Конджиам;2018;201;Корея Южная;ужасы;Чон Бом-щик;
159;https://www.kinopoisk.ru/film/1282222/;The Hating Game;Мой любимый враг;2021;102;США;мелодрама;Питер Хатчингс;
160;https://www.kinopoisk.ru/film/1048334/;Joker;Джокер;2019;122;США;драма;Тодд Филлипс;8.0
161;https://www.kinopoisk.ru/film/1345617/;The Unbearable Weight of Massive Talent;Невыносимая тяжесть огромного таланта;2022;105;США;боевик;Том Гормикэн;7.0
162;https://www.kinopoisk.ru/film/972740/;;Союз Спасения;2019;136;Россия;история;Андрей Кравчук;
163;https://www.kinopoisk.ru/film/692861/;Gone Girl;Исчезнувшая;2014;149;США;триллер;Дэвид Финчер;8.0
164;https://www.kinopoisk.ru/film/961715/;Deadpool 2;Дэдпул 2;2018;119;США;фантастика;Дэвид Литч;7.4
165;https://www.kinopoisk.ru/film/409/;The Shining;Сияние;1980;144;США;триллер;Стэнли Кубрик;7.8
166;https://www.kinopoisk.ru/film/5078983/;;Мажор в Сочи;2022;202;Россия;боевик;Никита Власов;
167;https://www.kinopoisk.ru/film/818981/;What We Do in the Shadows;Реальные упыри;2014;201;Новая Зеландия;комедия;Джемейн Клемент;7.5
168;https://www.kinopoisk.ru/film/4541/;The Truman Show;Шоу Трумана;1998;103;США;драма;Питер Уир;8.3
169;https://www.kinopoisk.ru/film/4871/;Scent of a Woman;Запах женщины;1992;156;США;драма;Мартин Брест;8.4
170;https://www.kinopoisk.ru/film/438268/;Biutiful;Бьютифул;2009;148;Мексика;драма;Алехандро Гонсалес Иньярриту;7.7
171;https://www.kinopoisk.ru/film/309/;Equilibrium;Эквилибриум;2002;107;США;фантастика;Курт Уиммер;7.9
172;https://www.kinopoisk.ru/film/686898/;It Chapter Two;Оно 2;2019;169;США;ужасы;Андрес Мускетти;
173;https://www.kinopoisk.ru/film/1020042/;Luckiest Girl Alive;Самая везучая девушка;2022;113;США;драма;Майк Баркер;
174;https://www.kinopoisk.ru/film/4720113/;Alle hater Johan;Все ненавидят Йохана;2021;202;Норвегия;комедия;Халлвар Витсё;7.1
175;https://www.kinopoisk.ru/film/381/;La vita è bella;Жизнь прекрасна;1997;116;Италия;военный;Роберто Бениньи;8.6
176;https://www.kinopoisk.ru/film/49684/;Howl no Ugoku Shiro;Ходячий замок;2004;119;Япония;аниме;Хаяо Миядзаки;8.3
177;https://www.kinopoisk.ru/film/762738/;John Wick;Джон Уик;2014;101;США;боевик;Чад Стахелски;
178;https://www.kinopoisk.ru/film/1115098/;Jurassic World Dominion;Мир Юрского периода: Господство;2022;147;США;фантастика;Колин Треворроу;
179;https://www.kinopoisk.ru/film/1164520/;Greenland;Гренландия;2020;119;США;боевик;Рик Роман Во;
180;https://www.kinopoisk.ru/film/1057316/;WarHunt;Охота на ведьм;2021;202;США;ужасы;Мауро Боррелли;
181;https://www.kinopoisk.ru/film/5492/;Eternal Sunshine of the Spotless Mind;Вечное сияние чистого разума;2004;108;США;мелодрама;Мишель Гондри;8.0
182;https://www.kinopoisk.ru/film/590022/;Sinister;Синистер;2012;110;США;ужасы;Скотт Дерриксон;
183;https://www.kinopoisk.ru/film/530/;A Beautiful Mind;Игры разума;2001;135;США;драма;Рон Ховард;8.5
